Title,Date,Rating,Votes,Director
Star Wars: Episode IV - A New Hope,1977,8.6,1299781,George Lucas
The Shawshank Redemption,1994,9.3,2529673,Frank Darabont
Trainspotting,1996,8.1,665213,Danny Boyle
The Usual Suspects,1995,8.5,1045626,Bryan Singer
The Wrong Trousers,1993,8.3,53316,Nick Park
A Close Shave,1995,8.1,40586,Nick Park
Star Trek: First Contact,1996,7.6,122819,Jonathan Frakes
Casablanca,1942,8.5,551575,Michael Curtiz
Blade Runner,1982,8.1,736925,Ridley Scott
Schindler's List,1993,8.9,1292510,Steven Spielberg
Citizen Kane,1941,8.3,428750,Orson Welles
Pulp Fiction,1994,8.9,1948662,Quentin Tarantino
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,474011,Stanley Kubrick
The Godfather,1972,9.2,1741574,Francis Ford Coppola
The English Patient,1996,7.4,186242,Anthony Minghella
Braveheart,1995,8.3,1003006,Mel Gibson
Beautiful Thing,1996,7.6,23787,Hettie Macdonald
Lone Star,1996,7.4,29329,John Sayles
Toy Story,1995,8.3,945624,John Lasseter
One Flew Over the Cuckoo's Nest,1975,8.7,969223,Milos Forman
Romeo + Juliet,1996,6.7,221501,Baz Luhrmann
Fargo,1996,8.1,654107,"Joel Coen,  Ethan Coen"
The Postman,1994,7.7,35664,"Michael Radford,  Massimo Troisi"
Three Colors: Red,1994,8.1,100082,Krzysztof Kieslowski
Seven Samurai,1954,8.6,334350,Akira Kurosawa
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1228288,Irvin Kershner
Up in Smoke,1978,6.9,37875,"Lou Adler,  Tommy Chong"
L�on: The Professional,1994,8.5,1105424,Luc Besson
The Princess Bride,1987,8.1,416207,Rob Reiner
Sense and Sensibility,1995,7.7,111580,Ang Lee
2001: A Space Odyssey,1968,8.3,641401,Stanley Kubrick
Reservoir Dogs,1992,8.3,974876,Quentin Tarantino
The City of Lost Children,1995,7.5,67358,"Marc Caro,  Jean-Pierre Jeunet"
Indiana Jones and the Raiders of the Lost Ark,1981,8.4,931142,Steven Spielberg
That Thing You Do!,1996,6.9,67061,Tom Hanks
Clerks,1994,7.7,218279,Kevin Smith
Brazil,1985,7.9,196892,Terry Gilliam
Monty Python and the Holy Grail,1975,8.2,525003,"Terry Gilliam,  Terry Jones"
Rear Window,1954,8.5,473590,Alfred Hitchcock
Se7en,1995,8.6,1552226,David Fincher
Aliens,1986,8.3,690005,James Cameron
A Clockwork Orange,1971,8.3,798504,Stanley Kubrick
The Rock,1996,7.4,327733,Michael Bay
Withnail & I,1987,7.6,42901,Bruce Robinson
"The Good, the Bad and the Ugly",1966,8.8,731123,Sergio Leone
12 Monkeys,1995,8,602534,Terry Gilliam
It's a Wonderful Life,1946,8.6,438122,Frank Capra
Babe,1995,6.8,122545,Chris Noonan
The Transformers: The Movie,1986,7.3,39145,Nelson Shin
Dead Man Walking,1995,7.5,92996,Tim Robbins
To Kill a Mockingbird,1962,8.2,308050,Robert Mulligan
12 Angry Men,1957,9,747360,Sidney Lumet
Lawrence of Arabia,1962,8.3,284065,David Lean
North by Northwest,1959,8.3,317375,Alfred Hitchcock
Apocalypse Now,1979,8.4,641053,Francis Ford Coppola
Dazed and Confused,1993,7.6,177022,Richard Linklater
Underground,1995,8.1,57489,Emir Kusturica
Goodfellas,1990,8.7,1094223,Martin Scorsese
Once Were Warriors,1994,7.9,33344,Lee Tamahori
A Time to Kill,1996,7.5,148884,Joel Schumacher
Star Wars: Episode VI - Return of the Jedi,1983,8.3,1004124,Richard Marquand
Once Upon a Time in the West,1968,8.5,319206,Sergio Leone
Cinema Paradiso,1988,8.5,250293,Giuseppe Tornatore
Taxi Driver,1976,8.2,778695,Martin Scorsese
Heat,1995,8.2,621969,Michael Mann
Three Colors: Blue,1993,7.9,98272,Krzysztof Kieslowski
The Silence of the Lambs,1991,8.6,1360144,Jonathan Demme
Vertigo,1958,8.3,388879,Alfred Hitchcock
Wings of Desire,1987,8,69016,Wim Wenders
Ransom,1996,6.7,124973,Ron Howard
Mystery Science Theater 3000: The Movie,1996,7.3,18288,Jim Mallon
Alien,1979,8.4,839627,Ridley Scott
The Big Blue,1988,7.6,50592,Luc Besson
The Blues Brothers,1980,7.9,193333,John Landis
The Third Man,1949,8.1,167535,Carol Reed
Army of Darkness,1992,7.5,171473,Sam Raimi
The Godfather: Part II,1974,9,1208326,Francis Ford Coppola
Psycho,1960,8.5,642951,Alfred Hitchcock
Secrets & Lies,1996,8,41969,Mike Leigh
The Killer,1989,7.8,47557,John Woo
 Babylon 5,1993,6.5,9194,Richard Compton
The Wizard of Oz,1939,8,384362,"Victor Fleming,  George Cukor,  Mervyn LeRoy,  Norman Taurog,  Richard Thorpe,  King Vidor"
Empire Records,1995,6.7,53758,Allan Moyle
Full Metal Jacket,1987,8.3,712907,Stanley Kubrick
Ran,1985,8.2,121463,Akira Kurosawa
A Grand Day Out,1989,7.8,33324,Nick Park
Tombstone,1993,7.8,139771,"George P. Cosmatos,  Kevin Jarre"
The Maltese Falcon,1941,8,155191,John Huston
Terminator 2: Judgment Day,1991,8.5,1051684,James Cameron
The Double Life of V�ronique,1991,7.8,46683,Krzysztof Kieslowski
The Quiet Man,1952,7.8,37378,John Ford
Once Upon a Time in America,1984,8.3,336687,Sergio Leone
Stalker,1979,8.1,129182,Andrei Tarkovsky
Sunset Blvd.,1950,8.4,214527,Billy Wilder
Gone with the Wind,1939,8.1,305777,"Victor Fleming,  George Cukor,  Sam Wood"
Singin' in the Rain,1952,8.3,233162,"Stanley Donen,  Gene Kelly"
Smoke,1995,7.4,35706,Wayne Wang
Amadeus,1984,8.3,388047,Milos Forman
Henry V,1989,7.5,29485,Kenneth Branagh
Rumble in the Bronx,1995,6.8,41427,Stanley Tong
Much Ado About Nothing,1993,7.3,47275,Kenneth Branagh
Raging Bull,1980,8.2,340903,Martin Scorsese
Harold and Maude,1971,7.9,75773,Hal Ashby
Emma,1996,6.7,38112,Douglas McGrath
Hard Boiled,1992,7.8,49300,John Woo
Delicatessen,1991,7.6,83832,"Marc Caro,  Jean-Pierre Jeunet"
The Fugitive,1993,7.8,283857,Andrew Davis
Annie Hall,1977,8,260409,Woody Allen
